央视频道,#genre#
CCTV1,http://111.197.224.161:4022/rtp/239.3.1.129:8008
CCTV2,http://111.197.224.161:4022/rtp/239.3.1.60:8084
CCTV4,http://111.197.224.161:4022/rtp/239.3.1.105:8092
CCTV4欧洲,http://111.197.224.161:4022/rtp/239.3.1.213:4220
CCTV4美洲,http://111.197.224.161:4022/rtp/239.3.1.214:4220
CCTV5,http://111.197.224.161:4022/rtp/239.3.1.173:8001
CCTV5+,http://111.197.224.161:4022/rtp/239.3.1.130:8004
CCTV7,http://111.197.224.161:4022/rtp/239.3.1.61:8104
CCTV8,http://111.197.224.161:4022/rtp/239.3.1.175:8001
CCTV9,http://111.197.224.161:4022/rtp/239.3.1.62:8112
CCTV10,http://111.197.224.161:4022/rtp/239.3.1.63:8116
CCTV10,http://111.197.224.161:4022/rtp/239.3.1.78:4120
CCTV11,http://111.197.224.161:4022/rtp/239.3.1.152:8120
CCTV12,http://111.197.224.161:4022/rtp/239.3.1.64:8124
CCTV15,http://111.197.224.161:4022/rtp/239.3.1.153:8136
CCTV16,http://111.197.224.161:4022/rtp/239.3.1.184:8001

卫视频道,#genre#
辽宁卫视,http://111.197.224.161:4022/rtp/239.3.1.210:8056
黑龙江卫视,http://111.197.224.161:4022/rtp/239.3.1.133:8016
湖南卫视,http://111.197.224.161:4022/rtp/239.3.1.132:8012
深圳卫视,http://111.197.224.161:4022/rtp/239.3.1.134:8020
湖北卫视,http://111.197.224.161:4022/rtp/239.3.1.138:8044
吉林卫视,http://111.197.224.161:4022/rtp/239.3.1.240:8172
江苏卫视,http://111.197.224.161:4022/rtp/239.3.1.135:8028
贵州卫视,http://111.197.224.161:4022/rtp/239.3.1.149:8076
广东卫视,http://111.197.224.161:4022/rtp/239.3.1.142:8048
天津卫视,http://111.197.224.161:4022/rtp/239.3.1.141:1234
安徽卫视,http://111.197.224.161:4022/rtp/239.3.1.211:8064
重庆卫视,http://111.197.224.161:4022/rtp/239.3.1.122:8160
北京卫视,http://111.197.224.161:4022/rtp/239.3.1.241:8000
东南卫视,http://111.197.224.161:4022/rtp/239.3.1.156:8148
三沙卫视,http://111.197.224.161:4022/rtp/239.3.1.155:4120
宁夏卫视,http://111.197.224.161:4022/rtp/239.3.1.46:8124
青海卫视,http://111.197.224.161:4022/rtp/239.3.1.44:8184
海南卫视,http://111.197.224.161:4022/rtp/239.3.1.45:8304
内蒙古卫视,http://111.197.224.161:4022/rtp/239.3.1.43:8176
云南卫视,http://111.197.224.161:4022/rtp/239.3.1.26:8108
兵团卫视,http://111.197.224.161:4022/rtp/239.3.1.144:4120
陕西卫视,http://111.197.224.161:4022/rtp/239.3.1.41:8140
山西卫视,http://111.197.224.161:4022/rtp/239.3.1.42:8172
新疆卫视,http://111.197.224.161:4022/rtp/239.3.1.48:8160
甘肃卫视,http://111.197.224.161:4022/rtp/239.3.1.49:8188
厦门卫视,http://111.197.224.161:4022/rtp/239.3.1.143:4120
河南卫视,http://111.197.224.161:4022/rtp/239.3.1.27:8128
广西卫视,http://111.197.224.161:4022/rtp/239.3.1.39:8300
山东卫视,http://111.197.224.161:4022/rtp/239.3.1.209:8052

影视剧场,#genre#
爱上4K,http://111.197.224.161:4022/rtp/239.3.1.236:2000
BRTV影视,http://111.197.224.161:4022/rtp/239.3.1.158:8000
淘电影,http://111.197.224.161:4022/rtp/239.3.1.250:8001
喜剧影院,http://111.197.224.161:4022/rtp/239.3.1.91:4120
动作影院,http://111.197.224.161:4022/rtp/239.3.1.92:4120
军事,http://111.197.224.161:4022/rtp/239.3.1.76:4120
星影,http://111.197.224.161:4022/rtp/239.3.1.94:4120
爱生活,http://111.197.224.161:4022/rtp/239.3.1.86:4120
解密,http://111.197.224.161:4022/rtp/239.3.1.75:4120

